Virat Kohli,30,175,1,59.4,166.25,236
Rohit Sharma,32,173,1,48.92,64.38,215
Hardik Pandya,25,183,4,29.91,40.65,54
Kedar Jadhav,34,165,4,43.24,35.96,65
Ravindra Jadeja,30,173,4,30.61,35.9,153
Rishabh Pant,21,170,3,26.12,1000,9
Lokesh Rahul,27,180,3,39.11,1000,23
MS Dhoni,38,180,3,50.58,31,350
Dinesh Karthik,34,170,3,30.21,1000,94
Kuldeep Yadav,24,168,2,12.62,23.97,51
Mohammed Shami,28,178,2,7.39,24.76,67
Jasprit Bumrah,25,178,2,3.8,21.88,58
Bhuvneshwar Kumar,29,175,2,14.58,34.98,111
Yuzvendra Chahal,29,168,2,7.8,21.13,49
Mayank Agarwal,28,175,1,0,1000,0
Kumar Sangakkara,41,178,1,41.99,1000,404
David Warner,32,170,1,45.36,1000,116
Steve Smith,30,176,1,41.41,34.39,118
